id,label
110499,0
101319,0
108883,0
100925,0
110852,0
109538,0
108874,0
100082,0
110470,0
109725,0
103874,0
108214,0
102266,1
112940,0
102318,0
102162,1
106268,1
101888,0
108397,0
100901,0
106980,1
106283,0
110891,1
103818,0
111938,1
106200,1
109116,0
107311,0
102213,1
112378,1
110819,1
112456,0
110846,0
104540,0
110136,1
110718,0
103530,0
101797,1
110143,1
102987,1
108970,1
102506,1
109392,0
100695,1
103336,1
110388,1
101995,1
109812,0
107717,0
106342,0
112201,1
104207,0
105057,0
100110,1
103594,1
110747,0
101456,1
108880,0
103008,1
112871,1
101314,1
110408,1
110125,0
106336,0
104844,1
101023,0
110072,0
107032,0
105883,0
101843,0
108219,0
110919,0
104064,1
103193,0
100828,0
103003,0
101164,1
100528,1
103058,0
105311,0
103760,0
106328,1
102560,0
112713,0
110644,0
100809,0
110002,0
100998,0
107593,1
110869,1
109575,0
104607,0
100909,1
106267,0
112285,0
109520,0
100407,0
101775,0
100014,1
103061,0
112266,1
112412,0
109710,1
110987,0
109718,1
104144,1
103589,0
102550,0
106958,1
103499,1
111890,0
109223,0
106925,1
108481,0
112029,1
108155,0
105843,0
101345,0
107741,0
102728,0
100850,1
100504,0
105346,0
109888,0
108400,1
104394,1
101142,1
102330,0
108077,1
101814,1
102177,1
109238,0
100574,0
109178,1
106081,0
106866,0
109104,1
105642,0
100929,0
101772,1
103053,0
102481,1
107776,1
105950,0
103950,1
103100,0
109152,0
107769,0
103549,1
104228,0
107568,0
110815,0
111073,0
103370,0
109466,0
111769,1
112206,0
107069,1
105031,1
111235,1
103743,1
104359,0
111945,1
108791,0
109643,0
101520,1
112325,1
101469,0
108466,1
103537,1
108822,0
102741,1
101743,1
104771,0
100372,1
102904,1
106915,0
102556,1
101691,0
108082,0
110304,1
108477,0
104413,1
107838,1
105236,1
104888,1
108660,0
101097,0
100898,1
109257,0
111778,0
110487,0
109544,1
103107,1
107387,0
110344,1
111476,0
105187,0
107940,1
110249,0
104546,0
104241,1
109098,0
112880,1
103990,0
104564,1
109692,1
100304,0
101494,1
101688,1
111661,1
101406,1
112311,0
103768,0
108906,0
106001,1
107261,1
110949,1
111273,0
100640,1
107352,0
110660,1
106307,0
103154,0
111774,1
110081,1
112079,0
104736,1
104177,1
105138,1
103292,0
100016,0
111430,1
104809,0
103027,1
107704,0
110441,0
107177,0
109366,0
111095,1
100937,0
110243,1
104071,0
102230,0
100006,1
106089,1
100475,0
103025,1
105558,1
102373,0
102413,1
110502,1
100718,0
111564,0
104578,1
102524,1
105505,0
105822,0
107768,0
104746,0
103572,1
111349,0
105990,1
101898,0
111599,0
105625,0
110983,0
101698,1
102444,1
106942,0
112167,1
110343,1
102487,1
102324,0
101909,1
109097,1
112284,0
106728,0
100520,0
106520,1
111748,0
109923,1
112841,0
100904,0
102151,0
109478,1
106786,1
111885,1
106019,1
101001,0
104347,1
107252,0
101006,0
107273,1
106234,1
105976,1
110358,0
104906,0
112316,0
108597,0
100961,0
107412,1
102753,1
102348,0
111274,1
106296,0
110746,0
112058,1
103325,1
109233,0
103252,1
102264,0
103083,1
102659,1
100786,0
109234,1
105808,1
111093,1
108148,0
101394,1
110584,0
109972,0
110836,1
100721,0
110938,0
104584,1
105383,1
106788,0
106155,1
112908,0
102150,1
105203,1
101715,1
112455,0
108842,1
110082,1
112942,0
100705,1
112726,0
106994,0
101067,0
107180,0
106284,1
103534,0
102845,1
111677,1
112109,0
102912,1
105550,0
106888,1
108368,1
105278,1
107129,0
109092,0
108075,0
112502,0
108458,0
104122,1
100248,0
107418,1
104573,1
110435,1
104076,0
100580,1
103249,0
107921,0
111163,1
104534,0
111762,1
101005,0
112380,0
104189,1
111382,0
111360,1
111491,1
104634,1
100019,0
108508,0
101208,1
100406,1
109405,0
110400,0
110944,0
109839,1
109048,1
108306,1
106725,0
104821,0
108233,0
108501,0
112805,1
109357,1
101950,0
109081,0
104895,0
107504,1
105095,0
103218,0
109781,1
104440,0
102486,1
105292,0
109455,1
107573,1
108675,0
107912,1
101256,0
108732,0
105884,1
105742,0
110252,0
101160,0
102337,0
104059,0
104964,1
109072,1
107310,0
101555,1
112589,0
107524,0
105359,1
101799,0
106124,1
109952,1
103740,1
111591,1
106796,0
108702,1
102925,1
109750,1
101117,1
110173,0
104216,1
108034,0
111464,0
101690,1
102502,0
104017,0
104969,1
106563,1
102708,0
104315,1
107949,0
101783,0
112633,1
109523,0
101952,0
104913,1
106127,0
109918,1
103597,1
100626,1
110532,1
111904,0
104702,1
112522,0
103890,0
111598,0
101615,0
104742,0
102436,1
109227,1
106660,1
104631,0
101201,1
101200,0
100783,0
105728,0
104586,1
112391,1
100594,1
106204,1
109619,0
111640,1
110300,1
100675,0
105688,1
103735,0
110467,0
110687,0
107239,0
106822,0
100222,1
100932,0
112107,0
107176,0
110279,0
107633,1
100726,0
100441,0
107750,1
109585,1
109177,0
111735,0
110367,0
111448,1
105273,0
100521,0
107166,0
101999,0
107806,1
107204,1
111201,1
106867,1
102427,0
101807,1
101717,1
101798,0
111477,0
102644,0
102501,0
108035,0
111521,0
101537,1
108356,0
100286,0
107242,1
111714,1
105167,0
110132,0
111089,0
103455,1
108129,1
108659,1
105818,0
112405,0
107955,0
102699,0
109322,0
106530,1
103531,1
106449,0
108177,1
112243,0
111503,1
112610,1
109879,0
101320,1
105521,0
106854,0
103015,0
102806,0
111549,1
109175,1
106923,1
110101,0
105515,0
106881,1
108681,0
103213,1
112889,1
101859,0
109701,1
107681,1
106195,0
109674,1
103005,1
111013,0
106148,0
101946,0
107392,0
106944,1
111628,0
112535,1
102976,1
111976,0
108753,0
109078,1
111849,0
111126,1
103276,1
110392,1
112099,1
101135,0
106852,1
102954,0
104156,1
107929,1
106258,0
103923,1
102588,1
111871,1
107857,0
112687,0
103316,0
107245,0
109059,0
101446,0
110753,0
103126,0
110941,1
106300,0
104317,1
108102,0
100351,1
103974,1
112652,0
109992,1
104857,0
101420,0
108473,1
109149,1
106158,1
103237,0
110699,0
110134,1
106553,1
112863,1
103436,1
100403,0
101302,1
112354,0
105699,1
111914,0
110784,0
112817,0
101530,0
112654,0
105635,1
103037,0
109827,0
106476,0
110698,0
104222,1
103411,0
107340,1
106772,1
101879,0
107376,0
111034,1
103658,1
107832,1
101730,0
100984,1
109734,0
105251,1
107827,0
102762,1
104530,0
111892,0
112292,0
102390,0
102251,1
109602,1
104277,0
102924,1
111128,0
111889,0
109052,0
106299,1
101091,0
101192,0
106777,1
103679,0
103859,1
105864,1
103980,1
105640,1
100220,1
109535,0
101607,0
108843,1
105212,1
102066,0
110385,1
106535,1
106798,1
108764,0
111788,0
100193,0
106374,1
105917,0
101794,0
100871,1
103926,0
101460,0
101428,1
108092,0
109752,0
109468,1
110297,1
112894,0
107471,0
101848,0
103868,0
111250,1
109819,1
103278,1
110381,1
